id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
108,Male,31,1,29.0,0,1-2 Year,Yes,28867.0,124.0,247,0
109,Male,72,1,46.0,1,1-2 Year,Yes,28698.0,30.0,216,0
110,Male,45,1,35.0,0,1-2 Year,Yes,2630.0,124.0,275,0
111,Male,27,1,8.0,1,< 1 Year,No,31428.0,122.0,77,0
112,Female,48,1,46.0,0,> 2 Years,Yes,37379.0,11.0,139,0
113,Female,33,1,30.0,1,< 1 Year,No,24998.0,152.0,181,0
114,Male,50,1,30.0,0,1-2 Year,Yes,34271.0,26.0,229,1
115,Female,28,1,30.0,1,< 1 Year,No,32830.0,152.0,275,0
116,Female,32,1,46.0,0,1-2 Year,Yes,34810.0,26.0,166,0
117,Male,69,1,46.0,0,1-2 Year,Yes,2630.0,11.0,16,0
118,Female,32,1,27.0,1,< 1 Year,No,22838.0,151.0,295,0
119,Female,23,1,29.0,1,< 1 Year,No,37983.0,152.0,23,0
120,Female,23,1,25.0,0,< 1 Year,No,2630.0,152.0,149,0
121,Male,39,1,3.0,0,1-2 Year,Yes,37239.0,26.0,216,1
122,Female,39,1,28.0,1,1-2 Year,No,37243.0,124.0,31,0
123,Male,37,1,13.0,0,1-2 Year,Yes,30440.0,124.0,293,0
124,Male,34,1,18.0,0,1-2 Year,Yes,38232.0,124.0,156,1
125,Male,23,1,15.0,1,< 1 Year,No,25605.0,160.0,256,0
126,Male,49,1,28.0,0,1-2 Year,Yes,2630.0,124.0,88,0
127,Male,23,1,41.0,1,< 1 Year,No,33307.0,152.0,147,0
128,Female,22,1,25.0,0,< 1 Year,Yes,23955.0,160.0,22,0
129,Female,22,1,20.0,0,< 1 Year,Yes,2630.0,152.0,219,0
130,Female,27,1,41.0,1,< 1 Year,No,22371.0,152.0,50,0
131,Male,50,1,28.0,0,1-2 Year,Yes,57389.0,26.0,155,1
132,Female,27,1,28.0,1,< 1 Year,No,30005.0,152.0,92,0
133,Male,28,1,37.0,1,< 1 Year,No,32600.0,152.0,131,0
134,Female,25,1,49.0,1,< 1 Year,No,31680.0,152.0,66,0
135,Female,27,1,8.0,1,< 1 Year,No,40651.0,152.0,260,0
136,Female,43,1,41.0,0,1-2 Year,Yes,2630.0,26.0,19,1
137,Female,59,1,39.0,0,1-2 Year,Yes,32775.0,124.0,158,0
138,Female,23,1,36.0,0,< 1 Year,Yes,33638.0,160.0,22,0
139,Male,36,1,28.0,1,1-2 Year,No,2630.0,26.0,258,0
140,Male,21,1,29.0,1,< 1 Year,No,62164.0,152.0,116,0
141,Female,21,1,46.0,1,< 1 Year,No,27528.0,160.0,117,0
142,Female,47,1,41.0,1,1-2 Year,No,42080.0,124.0,62,0
143,Male,25,1,28.0,1,< 1 Year,No,36202.0,152.0,193,0
144,Female,32,1,46.0,0,1-2 Year,Yes,27320.0,156.0,204,0
145,Male,21,1,3.0,1,< 1 Year,No,40511.0,160.0,212,0
146,Male,23,1,28.0,0,< 1 Year,Yes,56589.0,152.0,144,0
147,Female,27,1,30.0,1,< 1 Year,No,33780.0,152.0,246,0
148,Male,20,1,39.0,1,< 1 Year,No,28329.0,160.0,78,0
149,Female,38,1,28.0,0,1-2 Year,Yes,34471.0,124.0,234,1
150,Female,22,1,11.0,1,< 1 Year,No,76651.0,152.0,258,0
151,Male,25,1,8.0,0,< 1 Year,Yes,54385.0,152.0,206,0
152,Male,27,1,28.0,0,< 1 Year,Yes,26732.0,152.0,282,0
153,Male,51,1,19.0,0,1-2 Year,Yes,2630.0,124.0,228,0
154,Male,53,1,28.0,1,1-2 Year,No,40397.0,122.0,156,0
155,Female,24,1,22.0,1,< 1 Year,No,34591.0,152.0,125,0
156,Female,49,1,28.0,0,1-2 Year,Yes,32771.0,154.0,29,0
157,Female,41,1,28.0,0,1-2 Year,Yes,54740.0,124.0,212,1
158,Male,41,1,35.0,0,1-2 Year,Yes,25112.0,154.0,221,0
159,Female,23,1,47.0,0,< 1 Year,Yes,28737.0,152.0,18,0
160,Female,31,1,15.0,1,< 1 Year,No,25908.0,152.0,84,0
161,Male,20,1,3.0,1,< 1 Year,No,41914.0,160.0,206,0
162,Male,70,1,25.0,1,1-2 Year,No,2630.0,124.0,230,0
163,Male,78,1,28.0,1,1-2 Year,No,42462.0,26.0,54,0
164,Female,31,1,28.0,1,1-2 Year,No,29395.0,26.0,123,0
165,Female,48,1,36.0,1,1-2 Year,No,2630.0,124.0,189,0
166,Male,25,1,30.0,1,< 1 Year,No,29396.0,152.0,22,0
167,Female,28,1,44.0,0,1-2 Year,Yes,37570.0,156.0,258,1
168,Female,26,1,8.0,0,< 1 Year,Yes,89282.0,152.0,101,0
169,Female,60,1,28.0,1,1-2 Year,No,30386.0,26.0,114,0
170,Female,28,1,8.0,1,< 1 Year,No,31454.0,152.0,86,0
171,Male,23,1,36.0,1,< 1 Year,No,52462.0,152.0,243,0
172,Male,22,1,36.0,1,< 1 Year,No,36352.0,152.0,13,0
173,Female,50,1,28.0,0,1-2 Year,Yes,36282.0,26.0,237,0
174,Female,33,1,36.0,1,< 1 Year,No,40899.0,152.0,85,0
175,Male,24,1,35.0,1,< 1 Year,No,23540.0,152.0,98,0
176,Female,22,1,36.0,1,< 1 Year,No,34527.0,152.0,67,0
177,Male,25,1,28.0,1,< 1 Year,No,101021.0,152.0,49,0
178,Male,60,1,45.0,0,1-2 Year,No,42888.0,124.0,229,0
179,Male,46,1,28.0,0,1-2 Year,Yes,60478.0,26.0,128,1
180,Female,45,1,46.0,0,1-2 Year,Yes,22689.0,26.0,95,0
181,Male,30,1,28.0,1,1-2 Year,No,40167.0,125.0,264,0
182,Male,52,1,0.0,0,1-2 Year,Yes,2630.0,124.0,89,0
183,Male,47,1,15.0,1,1-2 Year,No,29306.0,14.0,99,0
184,Male,59,1,41.0,1,1-2 Year,No,28821.0,26.0,29,0
185,Female,51,1,28.0,0,1-2 Year,Yes,57008.0,26.0,208,0
186,Male,52,1,0.0,1,1-2 Year,No,2630.0,26.0,134,0
187,Male,48,1,8.0,0,> 2 Years,Yes,44021.0,124.0,135,0
188,Male,42,1,37.0,0,1-2 Year,Yes,36532.0,124.0,268,0
189,Female,45,1,28.0,0,1-2 Year,Yes,25604.0,26.0,85,0
190,Female,27,1,11.0,1,1-2 Year,No,26756.0,124.0,254,0
191,Female,28,1,8.0,1,< 1 Year,No,37731.0,152.0,30,0
192,Female,24,1,16.0,1,< 1 Year,No,28190.0,152.0,284,0
193,Male,32,1,46.0,1,< 1 Year,No,23847.0,152.0,183,0
194,Male,21,1,47.0,0,< 1 Year,No,37028.0,160.0,119,0
195,Male,39,1,28.0,1,1-2 Year,No,29468.0,26.0,166,0
196,Male,55,1,30.0,1,1-2 Year,No,29215.0,26.0,226,0
197,Female,56,1,15.0,0,1-2 Year,No,29132.0,154.0,229,0
198,Male,42,1,3.0,0,1-2 Year,Yes,32293.0,124.0,105,1
199,Female,26,1,26.0,1,< 1 Year,No,2630.0,152.0,142,0
200,Female,42,1,28.0,0,1-2 Year,Yes,40613.0,124.0,242,0
201,Male,55,1,28.0,0,1-2 Year,Yes,49470.0,124.0,203,0
202,Female,41,1,28.0,0,1-2 Year,Yes,22561.0,124.0,207,1
203,Male,22,1,11.0,1,< 1 Year,No,21126.0,152.0,272,0
204,Male,42,1,8.0,0,1-2 Year,No,24224.0,154.0,66,0
205,Female,30,1,28.0,0,< 1 Year,Yes,39104.0,122.0,263,1
206,Male,21,1,30.0,0,< 1 Year,Yes,26720.0,160.0,64,0
207,Female,23,1,46.0,1,< 1 Year,No,18682.0,152.0,57,0
208,Female,21,1,6.0,0,< 1 Year,Yes,19196.0,152.0,40,0
209,Male,24,1,6.0,1,< 1 Year,No,18576.0,151.0,245,0
210,Male,26,1,37.0,0,< 1 Year,Yes,57159.0,160.0,163,0
211,Female,48,1,28.0,1,1-2 Year,No,35945.0,124.0,24,0
212,Male,45,1,28.0,0,1-2 Year,Yes,33205.0,26.0,243,0
213,Male,44,1,28.0,0,> 2 Years,Yes,42754.0,124.0,23,1
214,Male,42,1,45.0,0,1-2 Year,No,28759.0,25.0,102,0
215,Male,44,1,2.0,0,1-2 Year,No,34618.0,26.0,265,0
216,Female,25,1,9.0,0,< 1 Year,No,34280.0,160.0,202,0
217,Female,60,1,28.0,0,> 2 Years,Yes,65472.0,26.0,36,0
218,Female,21,1,46.0,0,< 1 Year,Yes,33245.0,152.0,259,0
219,Male,22,1,15.0,0,< 1 Year,Yes,32252.0,160.0,100,0
220,Male,23,1,41.0,1,< 1 Year,No,26285.0,152.0,91,0
221,Female,44,1,28.0,1,1-2 Year,No,2630.0,124.0,114,0
222,Male,40,1,20.0,0,1-2 Year,Yes,2630.0,26.0,204,0
223,Male,21,1,27.0,1,< 1 Year,No,45006.0,160.0,106,0
224,Female,61,1,28.0,0,> 2 Years,Yes,2630.0,157.0,190,1
225,Male,75,1,28.0,0,> 2 Years,Yes,40765.0,124.0,162,0
226,Female,53,1,28.0,1,1-2 Year,No,44313.0,61.0,33,0
227,Male,37,1,8.0,1,1-2 Year,No,29099.0,152.0,194,0
228,Male,29,1,28.0,1,< 1 Year,No,44742.0,152.0,85,0
229,Male,32,1,50.0,0,< 1 Year,No,2630.0,1.0,287,0
230,Female,64,1,28.0,1,1-2 Year,Yes,41697.0,26.0,287,0
231,Male,42,1,31.0,0,1-2 Year,Yes,2630.0,124.0,181,0
232,Male,24,1,47.0,0,< 1 Year,Yes,36414.0,124.0,292,0
233,Male,53,1,0.0,0,1-2 Year,Yes,2630.0,26.0,69,0
234,Male,62,1,15.0,0,1-2 Year,No,44679.0,86.0,239,0
235,Male,25,1,46.0,1,< 1 Year,No,39914.0,152.0,235,0
236,Male,23,1,39.0,0,< 1 Year,Yes,29575.0,152.0,281,1
237,Female,48,1,33.0,0,1-2 Year,Yes,44724.0,154.0,132,0
238,Male,28,1,15.0,1,< 1 Year,No,38339.0,152.0,245,0
239,Male,33,1,3.0,1,1-2 Year,No,27609.0,152.0,255,0
240,Female,63,1,28.0,0,> 2 Years,Yes,31004.0,26.0,281,0
241,Male,22,1,46.0,1,< 1 Year,No,30745.0,152.0,147,0
242,Male,27,1,3.0,1,< 1 Year,No,27181.0,152.0,125,0
243,Female,36,1,28.0,0,1-2 Year,Yes,40431.0,124.0,230,0
244,Male,49,1,28.0,0,1-2 Year,Yes,45558.0,26.0,49,0
245,Female,39,1,46.0,0,1-2 Year,No,35145.0,26.0,116,0
246,Female,21,1,11.0,0,< 1 Year,Yes,35555.0,152.0,242,1
247,Female,57,1,46.0,0,1-2 Year,Yes,30777.0,26.0,158,0
248,Female,43,1,28.0,0,1-2 Year,Yes,29578.0,31.0,203,1
249,Female,25,1,27.0,0,< 1 Year,No,2630.0,152.0,167,0
250,Male,41,1,11.0,1,1-2 Year,No,35614.0,26.0,152,0
251,Male,33,1,31.0,1,< 1 Year,No,2630.0,152.0,259,0
252,Male,23,1,12.0,1,< 1 Year,No,24886.0,26.0,111,0
253,Female,20,1,34.0,0,< 1 Year,Yes,33247.0,160.0,281,0
254,Male,36,1,28.0,1,1-2 Year,No,47682.0,124.0,121,0
255,Male,21,1,13.0,1,< 1 Year,No,37710.0,152.0,30,0
256,Female,57,1,28.0,0,> 2 Years,Yes,2630.0,26.0,71,0
257,Male,25,1,28.0,1,< 1 Year,No,43516.0,152.0,150,0
258,Female,24,1,46.0,0,< 1 Year,Yes,27141.0,152.0,246,0
259,Male,67,1,28.0,1,1-2 Year,No,31011.0,122.0,63,0
260,Male,24,1,13.0,1,< 1 Year,No,44603.0,152.0,207,0
261,Male,54,1,28.0,0,1-2 Year,Yes,34367.0,124.0,237,1
262,Female,22,1,12.0,1,< 1 Year,No,29823.0,152.0,128,0
263,Male,45,1,30.0,1,1-2 Year,No,2630.0,26.0,121,0
264,Male,22,1,36.0,1,< 1 Year,No,2630.0,152.0,60,0
265,Male,24,1,28.0,0,< 1 Year,Yes,21583.0,152.0,143,0
266,Female,22,1,11.0,1,< 1 Year,No,32234.0,152.0,117,0
267,Male,48,1,28.0,0,1-2 Year,Yes,42028.0,26.0,77,0
268,Female,28,1,21.0,1,< 1 Year,No,26106.0,152.0,95,0
269,Female,27,1,50.0,0,< 1 Year,Yes,2630.0,160.0,83,0
270,Male,49,1,46.0,1,1-2 Year,No,2630.0,30.0,198,0
271,Male,62,1,8.0,0,1-2 Year,Yes,47272.0,26.0,194,0
272,Male,45,1,28.0,0,1-2 Year,Yes,42704.0,26.0,116,0
273,Female,60,1,6.0,0,1-2 Year,Yes,2630.0,157.0,143,0
274,Female,20,1,17.0,0,1-2 Year,No,2630.0,156.0,181,0
275,Female,38,1,10.0,0,1-2 Year,Yes,37039.0,124.0,103,0
276,Female,52,1,31.0,0,1-2 Year,Yes,2630.0,26.0,127,0
277,Female,36,1,15.0,0,1-2 Year,Yes,2630.0,26.0,69,1
278,Male,55,1,28.0,0,> 2 Years,Yes,41246.0,26.0,285,0
279,Female,20,1,35.0,0,< 1 Year,Yes,34281.0,160.0,214,0
280,Male,25,1,28.0,1,< 1 Year,No,47031.0,26.0,151,0
281,Male,25,1,39.0,0,< 1 Year,No,2630.0,152.0,217,0
282,Female,54,1,41.0,0,1-2 Year,Yes,53581.0,124.0,199,1
283,Female,21,1,14.0,1,< 1 Year,No,36712.0,152.0,56,0
284,Male,40,1,48.0,0,> 2 Years,Yes,2630.0,26.0,86,0
285,Male,36,1,28.0,0,1-2 Year,Yes,34165.0,124.0,143,0
286,Male,42,1,15.0,0,1-2 Year,Yes,28883.0,26.0,66,0
287,Male,24,1,10.0,1,< 1 Year,No,35443.0,152.0,45,0
288,Male,39,1,28.0,0,1-2 Year,Yes,32807.0,157.0,186,0
289,Male,26,1,10.0,0,< 1 Year,Yes,24115.0,152.0,69,0
290,Male,64,1,8.0,0,1-2 Year,Yes,2630.0,124.0,293,0
291,Female,25,1,47.0,1,< 1 Year,No,2630.0,160.0,299,0
292,Female,22,1,13.0,1,< 1 Year,No,37093.0,152.0,66,0
293,Female,43,1,3.0,0,1-2 Year,Yes,31020.0,26.0,59,1
294,Female,28,1,6.0,1,< 1 Year,No,18683.0,152.0,215,0
295,Male,22,1,13.0,1,< 1 Year,No,33413.0,152.0,104,0
296,Female,26,1,16.0,0,< 1 Year,Yes,32232.0,152.0,238,0
297,Female,22,1,46.0,0,< 1 Year,Yes,31180.0,152.0,120,0
298,Male,60,1,8.0,0,1-2 Year,Yes,2630.0,124.0,21,0
299,Female,49,1,31.0,0,1-2 Year,Yes,2630.0,124.0,32,1
300,Male,22,1,21.0,1,< 1 Year,No,30893.0,152.0,29,0
301,Male,21,1,29.0,1,< 1 Year,No,43798.0,152.0,258,0
302,Male,67,1,28.0,0,1-2 Year,Yes,32653.0,124.0,171,0
303,Female,35,1,28.0,0,1-2 Year,Yes,41662.0,150.0,223,0
304,Female,24,1,33.0,1,< 1 Year,No,20513.0,152.0,270,0
305,Male,24,1,11.0,1,< 1 Year,No,27771.0,152.0,233,0
306,Male,24,1,15.0,1,< 1 Year,No,23267.0,152.0,143,0
307,Female,28,1,41.0,1,< 1 Year,No,37948.0,152.0,211,0
308,Female,24,1,30.0,1,< 1 Year,No,24414.0,152.0,149,0
309,Male,71,1,28.0,0,1-2 Year,Yes,42881.0,124.0,105,0
310,Male,26,1,35.0,1,< 1 Year,No,51047.0,152.0,165,0
311,Female,45,1,28.0,0,> 2 Years,Yes,73929.0,157.0,86,0
312,Female,59,1,39.0,0,1-2 Year,Yes,44630.0,124.0,200,0
313,Female,26,1,28.0,1,< 1 Year,No,44082.0,152.0,197,0
314,Female,24,1,46.0,1,< 1 Year,No,21006.0,152.0,11,0
315,Male,42,1,8.0,0,1-2 Year,Yes,35600.0,124.0,213,0
316,Male,20,1,12.0,0,< 1 Year,Yes,82705.0,160.0,49,0
317,Male,54,1,6.0,1,1-2 Year,No,24515.0,124.0,93,0
318,Male,48,1,8.0,1,1-2 Year,No,41483.0,124.0,113,0
319,Male,59,1,41.0,0,1-2 Year,Yes,2630.0,156.0,88,0
320,Male,43,1,5.0,1,1-2 Year,Yes,2630.0,124.0,178,0
321,Female,40,1,29.0,0,1-2 Year,Yes,2630.0,157.0,77,0
322,Male,77,1,50.0,1,1-2 Year,No,42327.0,124.0,10,0
323,Female,22,1,28.0,0,< 1 Year,Yes,48276.0,152.0,290,0
324,Female,35,1,28.0,0,1-2 Year,Yes,41029.0,125.0,94,0
325,Male,24,1,8.0,1,< 1 Year,No,35981.0,152.0,231,0
326,Female,24,1,33.0,1,< 1 Year,No,32219.0,152.0,45,0
327,Female,26,1,47.0,1,< 1 Year,No,2630.0,152.0,296,0
328,Male,26,1,30.0,1,< 1 Year,No,2630.0,152.0,270,0
329,Male,39,1,28.0,0,1-2 Year,Yes,38036.0,157.0,10,0
330,Female,52,1,45.0,0,1-2 Year,Yes,23918.0,26.0,265,0
331,Male,20,1,28.0,1,< 1 Year,No,31367.0,160.0,255,0
332,Male,69,1,28.0,0,1-2 Year,Yes,30727.0,122.0,47,0
333,Female,28,1,46.0,1,< 1 Year,No,41526.0,160.0,122,0
334,Male,44,1,28.0,0,1-2 Year,Yes,30427.0,124.0,237,1
335,Female,22,1,8.0,1,< 1 Year,No,48773.0,152.0,217,0
336,Male,20,1,29.0,1,1-2 Year,No,2630.0,157.0,271,0
337,Male,21,1,8.0,1,< 1 Year,No,27076.0,160.0,278,0
338,Male,23,1,18.0,1,< 1 Year,No,35970.0,26.0,16,0
339,Male,36,1,8.0,0,1-2 Year,Yes,30941.0,26.0,249,0
340,Female,69,1,28.0,0,1-2 Year,Yes,32400.0,26.0,189,1
341,Male,27,1,15.0,0,< 1 Year,Yes,33845.0,152.0,260,0
342,Male,47,1,41.0,1,1-2 Year,No,36809.0,26.0,226,0
343,Female,49,1,28.0,0,1-2 Year,Yes,48505.0,124.0,271,0
344,Male,25,1,25.0,1,< 1 Year,No,32856.0,152.0,275,0
345,Female,21,1,29.0,1,< 1 Year,No,29166.0,152.0,278,0
346,Male,42,1,38.0,0,1-2 Year,Yes,34193.0,156.0,116,1
347,Male,22,1,37.0,0,< 1 Year,Yes,38240.0,152.0,221,1
348,Female,42,1,28.0,0,1-2 Year,Yes,39977.0,124.0,276,0
349,Female,31,1,28.0,0,1-2 Year,Yes,39423.0,124.0,190,0
350,Female,60,1,36.0,1,1-2 Year,Yes,36638.0,124.0,33,0
351,Male,46,1,29.0,0,1-2 Year,Yes,28946.0,124.0,64,0
352,Female,23,1,46.0,1,< 1 Year,No,2630.0,152.0,88,0
353,Female,22,1,30.0,1,< 1 Year,No,18202.0,152.0,107,0
354,Male,20,1,8.0,1,< 1 Year,No,38076.0,160.0,79,0
355,Male,57,1,28.0,0,1-2 Year,Yes,19618.0,122.0,96,1
356,Female,29,1,28.0,1,< 1 Year,No,27715.0,152.0,93,0
357,Male,22,1,46.0,1,< 1 Year,Yes,28311.0,152.0,240,0
358,Female,22,1,36.0,0,< 1 Year,Yes,2630.0,152.0,211,0
359,Male,43,1,28.0,0,1-2 Year,Yes,39495.0,124.0,172,1
360,Male,54,1,15.0,0,1-2 Year,Yes,35116.0,124.0,171,1
361,Male,44,1,28.0,0,1-2 Year,Yes,39450.0,124.0,214,0
362,Female,23,1,8.0,1,< 1 Year,No,42644.0,152.0,257,0
363,Female,50,1,28.0,0,1-2 Year,Yes,68147.0,30.0,218,0
364,Male,50,1,28.0,1,1-2 Year,No,42024.0,122.0,224,0
